iter	Logloss
0	0.6803913708
1	0.6692869054
2	0.6596534747
3	0.6528151337
4	0.6464141627
5	0.6408421919
6	0.6367120492
7	0.6330978648
8	0.6298860172
9	0.6274403866
10	0.6247061864
11	0.6225228321
12	0.6207619169
13	0.6199694795
14	0.6181091454
15	0.6162779451
16	0.6147552709
17	0.6134070349
18	0.6120454702
19	0.6106156597
20	0.6098302145
21	0.6085119498
22	0.607351335
23	0.6065716072
24	0.6051366984
25	0.6039109697
26	0.6026469301
27	0.6012232378
28	0.6005263226
29	0.5994079153
30	0.5984559708
31	0.5974567932
32	0.5966591118
33	0.5957083691
34	0.5951097438
35	0.5941211273
36	0.5930709657
37	0.5920153779
38	0.59104934
39	0.5904104738
40	0.5895620269
41	0.5889880925
42	0.5880955079
43	0.587048806
44	0.5863971574
45	0.585501186
46	0.5847286689
47	0.5841606705
48	0.583277955
49	0.5828410948
50	0.5819500397
51	0.5814742132
52	0.5811230425
53	0.5804520564
54	0.5799216769
55	0.5792174055
56	0.5785221291
57	0.577821026
58	0.5770119824
59	0.5766507606
60	0.5758101434
61	0.5749077626
62	0.5743993063
63	0.5737946722
64	0.5733829398
65	0.5726763377
66	0.5723154437
67	0.571223985
68	0.5701728038
69	0.5696301881
70	0.5696103408
71	0.5688297754
72	0.5677958559
73	0.5671018905
74	0.5664243857
75	0.5658290016
76	0.5649356888
77	0.5647290942
78	0.5638851266
79	0.5627673748
80	0.5622391075
81	0.5614555195
82	0.5607765216
83	0.5598902736
84	0.5588656405
85	0.558285588
86	0.5578120557
87	0.5572306558
88	0.5563166215
89	0.555764501
90	0.5550538566
91	0.5545364052
92	0.5541082851
93	0.5536100984
94	0.552897451
95	0.552171038
96	0.5516724507
97	0.5512009942
98	0.55054188
99	0.5501271978
100	0.5492499814
101	0.5486589309
102	0.5480765477
103	0.5471146977
104	0.5463969156
105	0.5454221011
106	0.5445191012
107	0.5438172698
108	0.5431520011
109	0.5427267216
110	0.5422734736
111	0.541656567
112	0.5407889282
113	0.5400319247
114	0.5392873395
115	0.5386727636
116	0.5378521029
117	0.5375053388
118	0.536736172
119	0.5358326987
120	0.535225479
121	0.5346150546
122	0.5338700324
123	0.5332589889
124	0.5323179696
125	0.5318282316
126	0.5309175842
127	0.5304290844
128	0.5298506707
129	0.5291077243
130	0.5283818575
131	0.5275931347
132	0.5271418169
133	0.5267108198
134	0.5255705986
135	0.5246390477
136	0.5240928632
137	0.5233382268
138	0.5225192778
139	0.5219580166
140	0.5211175814
141	0.5208033742
142	0.5202182233
143	0.5196248057
144	0.5190130703
145	0.5183380054
146	0.5176618845
147	0.517093267
148	0.51645695
149	0.5156437913
150	0.5150072558
151	0.5144442101
152	0.5139516316
153	0.5132876012
154	0.5127074758
155	0.5119130355
156	0.5113743529
157	0.5109421905
158	0.5101414501
159	0.5093875057
160	0.5089239152
161	0.5082602125
162	0.5076527015
163	0.5072875467
164	0.5066923082
165	0.5061522782
166	0.5057639256
167	0.5054618453
168	0.5048830674
169	0.5044309848
170	0.5037972534
171	0.5031519778
172	0.5026018967
173	0.5022942081
174	0.5017418327
175	0.5012587226
176	0.5007781618
177	0.5002400619
178	0.4994870279
179	0.4986095201
180	0.4981168688
181	0.497610816
182	0.4972224634
183	0.4966935406
184	0.4956990608
185	0.4951554255
186	0.4944699818
187	0.4937680046
188	0.4932387177
189	0.4926682793
190	0.4919279185
191	0.4910044522
192	0.4902511269
193	0.4895060318
194	0.4890146916
195	0.4882988759
196	0.4877172211
197	0.4871603299
198	0.4865569704
199	0.4860516824
