iter	Passed	Remaining
0	4	878
1	9	918
2	13	882
3	17	879
4	21	847
5	27	887
6	31	880
7	35	857
8	38	825
9	44	842
10	50	860
11	53	845
12	57	830
13	60	803
14	66	821
15	70	807
16	74	797
17	77	788
18	82	788
19	88	793
20	95	812
21	99	804
22	104	805
23	110	812
24	116	813
25	122	818
26	130	834
27	134	824
28	139	824
29	143	813
30	148	809
31	152	798
32	156	789
33	159	780
34	163	772
35	167	763
36	171	755
37	175	748
38	179	742
39	189	757
40	195	758
41	199	752
42	207	759
43	213	758
44	220	758
45	223	749
46	227	741
47	233	739
48	239	737
49	243	729
50	251	735
51	257	733
52	261	725
53	267	723
54	273	721
55	279	717
56	284	713
57	288	706
58	292	700
59	297	694
60	301	686
61	305	680
62	312	679
63	317	673
64	321	666
65	325	660
66	329	654
67	333	647
68	338	643
69	344	639
70	346	629
71	349	621
72	353	614
73	356	607
74	362	603
75	365	596
76	369	590
77	374	585
78	378	579
79	386	579
80	391	575
81	395	568
82	399	562
83	402	556
84	409	554
85	413	547
86	417	542
87	421	536
88	426	532
89	431	527
90	435	521
91	439	515
92	445	512
93	449	507
94	454	502
95	459	497
96	465	494
97	468	487
98	472	481
99	475	475
100	478	469
101	484	465
102	489	460
103	493	455
104	497	450
105	500	444
106	504	438
107	509	433
108	512	428
109	517	423
110	525	421
111	529	415
112	532	409
113	537	405
114	544	402
115	548	397
116	553	392
117	561	389
118	565	384
119	570	380
120	575	375
121	578	369
122	581	364
123	585	358
124	589	353
125	593	348
126	596	343
127	600	337
128	608	334
129	612	329
130	617	325
131	620	319
132	624	314
133	627	309
134	632	304
135	638	300
136	642	295
137	646	290
138	651	285
139	655	280
140	660	276
141	665	271
142	669	266
143	674	262
144	680	258
145	684	253
146	690	248
147	698	245
148	703	240
149	708	236
150	712	231
151	720	227
152	734	225
153	739	220
154	749	217
155	753	212
156	756	207
157	759	202
158	763	196
159	767	191
160	772	187
161	778	182
162	784	178
163	789	173
164	794	168
165	800	163
166	807	159
167	812	154
168	818	150
169	822	145
170	826	140
171	831	135
172	837	130
173	851	127
174	856	122
175	862	117
176	867	112
177	874	108
178	881	103
179	885	98
180	889	93
181	893	88
182	896	83
183	901	78
184	905	73
185	909	68
186	916	63
187	921	58
188	927	53
189	933	49
190	937	44
191	944	39
192	949	34
193	953	29
194	956	24
195	959	19
196	963	14
197	967	9
198	970	4
199	977	0
