customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_monthly_charge,charge_tenure_ratio,customer_lifetime_value,engagement_score,service_utilization_score,contract_risk_score,loyalty_score,churn_risk_index,tenure_group,is_new_customer,has_autopay,has_fiber
CUST-00001,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,50.37,255.0,Yes,51.0,0.988,251.85,55.6,57.1,0.1,49.9,30.0,0-6,0,0,0
CUST-00002,Female,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),96.65,5999.6,No,90.9,1.063,6378.9,33.3,35.7,0.1,79.3,20.0,48+,0,1,1
CUST-00003,Male,1,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.68,5561.68,Yes,99.32,0.923,5134.08,11.1,7.1,1.0,33.3,50.0,48+,0,0,0
CUST-00004,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,114.38,341.06,Yes,113.69,1.006,343.14,33.3,42.9,1.0,8.3,75.0,0-6,1,0,0
CUST-00005,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.21,1460.22,Yes,182.53,0.204,297.68,11.1,7.1,1.0,6.7,80.0,6-12,0,1,0
CUST-00006,Female,1,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,42.52,1427.2,No,46.04,0.924,1318.12,22.2,14.3,0.1,57.7,25.0,24-48,0,0,0
CUST-00007,Male,0,Yes,No,10,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,117.73,1261.88,No,126.19,0.933,1177.3,66.7,64.3,0.3,46.9,50.0,6-12,0,0,0
CUST-00008,Male,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),82.16,5345.34,No,83.52,0.984,5258.24,11.1,7.1,0.3,65.8,25.0,48+,0,1,0
CUST-00009,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.81,1486.41,No,33.03,0.963,1431.45,11.1,7.1,0.3,55.2,25.0,24-48,0,1,0
CUST-00010,Female,1,Yes,Yes,12,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.21,1131.79,Yes,94.32,0.978,1106.52,44.4,50.0,1.0,15.5,25.0,6-12,0,0,0
CUST-00011,Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.13,55.605,No,55.6,0.632,35.13,22.2,14.3,1.0,5.0,80.0,0-6,1,1,0
CUST-00012,Male,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.14,3458.66,Yes,70.58,0.98,3387.86,66.7,64.3,1.0,40.6,25.0,48+,0,0,1
CUST-00013,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),113.87,2234.52,No,106.41,1.07,2391.27,11.1,7.1,0.1,49.9,45.0,12-24,0,1,0
CUST-00014,Male,1,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.94,2528.79,No,72.25,0.968,2447.9,55.6,57.1,1.0,30.6,25.0,24-48,0,1,1
CUST-00015,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.61,1070.95,No,82.38,0.954,1021.93,22.2,28.6,1.0,11.7,50.0,12-24,0,0,1
CUST-00016,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),61.29,438.85,No,62.69,0.978,429.03,66.7,64.3,0.1,53.2,30.0,6-12,0,1,1
CUST-00017,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,99.66,4152.2,Yes,109.27,0.912,3787.08,44.4,50.0,0.1,66.0,20.0,24-48,0,0,1
CUST-00018,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),37.56,783.87,No,35.63,1.054,826.32,66.7,64.3,0.3,53.6,0.0,12-24,0,1,1
CUST-00019,Female,0,No,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),70.09,724.31,No,72.43,0.968,700.9,0.0,0.0,0.1,41.6,55.0,6-12,0,1,0
CUST-00020,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.59,313.03,Yes,52.17,1.027,321.54,33.3,35.7,1.0,10.0,55.0,0-6,0,1,1
CUST-00021,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,103.99,3082.62,No,99.44,1.046,3223.69,11.1,7.1,0.3,47.4,45.0,24-48,0,0,0
CUST-00022,Male,1,Yes,No,42,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.13,2647.1,Yes,63.03,1.017,2693.46,44.4,57.1,1.0,32.2,25.0,24-48,0,0,1
CUST-00023,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.15,542.77,Yes,45.23,0.91,493.8,11.1,7.1,1.0,8.9,50.0,6-12,0,0,0
CUST-00024,Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,107.99,4801.66,Yes,111.67,0.967,4643.57,55.6,64.3,1.0,35.0,45.0,24-48,0,0,0
CUST-00025,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),72.83,600.49,No,75.06,0.97,582.64,55.6,64.3,0.1,51.6,30.0,6-12,0,1,0
CUST-00026,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.53,1619.35,Yes,101.21,1.013,1640.48,33.3,35.7,1.0,15.5,45.0,12-24,0,1,1
CUST-00027,Female,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),56.74,2439.37,No,55.44,1.023,2496.56,55.6,57.1,1.0,35.6,25.0,24-48,0,1,1
CUST-00028,Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),114.56,4208.79,No,113.75,1.007,4238.72,11.1,7.1,0.3,50.8,45.0,24-48,0,1,0
CUST-00029,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,87.22,1083.31,No,90.28,0.966,1046.64,66.7,71.4,0.3,48.0,0.0,6-12,0,0,0
CUST-00030,Female,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,114.24,655.52,No,109.25,1.046,685.44,44.4,57.1,1.0,12.2,75.0,0-6,0,0,1
CUST-00031,Male,1,Yes,No,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),45.65,87.91,Yes,43.96,1.038,91.3,44.4,42.9,0.1,46.0,30.0,0-6,1,1,0
CUST-00032,Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,78.58,4450.47,Yes,83.97,0.936,4164.74,11.1,7.1,1.0,31.7,50.0,48+,0,0,0
CUST-00033,Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),36.02,152.29,Yes,38.07,0.946,144.08,33.3,42.9,1.0,8.9,55.0,0-6,0,1,0
CUST-00034,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.4,124.38,No,24.88,0.941,117.0,55.6,50.0,1.0,13.9,55.0,0-6,0,1,1
CUST-00035,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),33.03,386.01,No,35.09,0.941,363.33,44.4,50.0,0.1,51.0,30.0,6-12,0,1,1
CUST-00036,Male,0,Yes,Yes,22,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),92.35,1987.19,No,90.33,1.022,2031.7,33.3,42.9,1.0,18.9,25.0,12-24,0,1,0
CUST-00037,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.18,5054.08,Yes,105.29,0.999,5048.64,44.4,50.0,1.0,35.5,45.0,24-48,0,0,1
CUST-00038,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.53,244.2,No,22.2,1.105,269.83,11.1,7.1,1.0,8.3,80.0,6-12,0,1,0
CUST-00039,Male,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.58,1552.32,Yes,55.44,0.984,1528.24,55.6,64.3,1.0,26.7,25.0,24-48,0,1,0
CUST-00040,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),70.89,264.47,Yes,66.12,1.072,283.56,22.2,14.3,0.3,34.7,55.0,0-6,0,1,0
CUST-00041,Male,1,No,No,23,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),64.11,1434.31,No,62.36,1.028,1474.53,77.8,78.6,0.3,56.3,0.0,12-24,0,1,0
CUST-00042,Male,0,No,No,8,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,24.52,210.59,Yes,26.32,0.932,196.16,88.9,85.7,1.0,22.2,55.0,6-12,0,0,0
CUST-00043,Female,1,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,46.17,404.26,No,44.92,1.028,415.53,44.4,50.0,1.0,13.9,55.0,6-12,0,0,1
CUST-00044,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,64.23,1087.99,No,64.0,1.004,1091.91,77.8,85.7,0.3,53.0,0.0,12-24,0,0,1
