customer_id,churn_probability,risk_level,reasons,recommendations,estimated_monthly_revenue,estimated_annual_revenue_at_risk
CUST-10420,0.8411,CRITICAL,"[{'factor': 'High Monthly Charges', 'detail': '₹108.93/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 5 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",108.93,1099.49
CUST-09216,0.8369,CRITICAL,"[{'factor': 'High Monthly Charges', 'detail': '₹106.27/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 5 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",106.27,1067.2
CUST-05409,0.8192,CRITICAL,"[{'factor': 'High Monthly Charges', 'detail': '₹110.55/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 3 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",110.55,1086.8
CUST-09662,0.7994,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹115.99/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",115.99,1112.74
CUST-08798,0.7911,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹95.42/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 3 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",95.42,905.84
CUST-03981,0.7905,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹115.04/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",115.04,1091.24
CUST-06990,0.7891,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹94.89/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",94.89,898.5
CUST-10071,0.7886,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹103.65/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",103.65,980.87
CUST-06324,0.7852,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹99.94/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 11.1/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",99.94,941.64
CUST-03259,0.7829,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹110.87/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",110.87,1041.58
