customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,50.37,255.0,Yes
CUST-00002,Female,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),96.65,5999.6,No
CUST-00003,Male,1,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.68,5561.68,Yes
CUST-00004,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,114.38,341.06,Yes
CUST-00005,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.21,,Yes
CUST-00006,Female,1,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,42.52,1427.2,No
CUST-00007,Male,0,Yes,No,10,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,118.17,1261.88,No
CUST-00008,Male,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),82.16,5345.34,No
CUST-00009,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.81,1486.41,No
CUST-00010,Female,1,Yes,Yes,12,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.21,1131.79,Yes
CUST-00011,Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.13,32.17,No
CUST-00012,Male,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.14,3458.66,Yes
CUST-00013,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),113.87,2234.52,No
CUST-00014,Male,1,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.94,2528.79,No
CUST-00015,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.61,1070.95,No
CUST-00016,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),61.29,438.85,No
CUST-00017,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,99.66,4152.2,Yes
CUST-00018,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),37.56,783.87,No
CUST-00019,Female,0,No,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),70.09,724.31,No
CUST-00020,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.59,313.03,Yes
CUST-00021,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,103.99,3082.62,No
CUST-00022,Male,1,Yes,No,42,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.13,2647.1,Yes
CUST-00023,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.15,542.77,Yes
CUST-00024,Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,107.99,4801.66,Yes
CUST-00025,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),72.83,600.49,No
CUST-00026,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.53,1619.35,Yes
CUST-00027,Female,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),56.74,2439.37,No
CUST-00028,Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),114.56,4208.79,No
CUST-00029,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,87.22,1083.31,No
CUST-00030,Female,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,114.24,655.52,No
CUST-00031,Male,1,Yes,No,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),45.65,87.91,Yes
CUST-00032,Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,78.58,4450.47,Yes
CUST-00033,Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),36.02,152.29,Yes
